linkedin_url,input_name,linkedin_id_found,success
https://www.linkedin.com/company/sylektis,SYLEKTIS,,false
https://www.linkedin.com/company/texen,TEXEN,texas-envelope,false
https://www.linkedin.com/company/ghv-vertriebs-gmbh,GHV Vertriebs- GmbH,vetter-pharma,false
https://www.linkedin.com/company/aria-electronique,ARIA ELECTRONIQUE,aria-stone-gallery,false
https://www.linkedin.com/company/renault,RENAULT,renault-trucks,false
https://www.linkedin.com/company/sogemi-engineering-s.r.l.,SO.GE.MI SRL,dimsport,false
https://www.linkedin.com/company/wattalps,WATTALPS,wattalps,true
https://www.linkedin.com/company/tactotek,Tactotek,tactotek,true
https://www.linkedin.com/company/apissys-sas,APISSYS,apissys-sas,true
https://www.linkedin.com/company/visicom,VITICYM,,false
https://www.linkedin.com/company/ba-healthcare,BA HEALTHCARE,hca,false
https://www.linkedin.com/company/collins-aerospace,COLLINS AEROSPACE,rockwell-collins,false
https://www.linkedin.com/company/jimmyfairly-com,JIMMY FAIRLY LAB,jimmy-john's,false
https://www.linkedin.com/company/lapp-muller,LAPP MULLER CABLES,mullerinc,false
https://www.linkedin.com/company/sefpower,SEF POWER,power-equipment-direct,false
https://www.linkedin.com/company/leroy-somer,MOTEURS LEROY SOMER,leroy-merlin,false
https://www.linkedin.com/company/velvet-consulting,VELVET CONSULTING,huronconsulting,false
https://www.linkedin.com/company/iveco-group,IVECO,iveco,false
https://www.linkedin.com/company/goma-elettronica-spa,Goma Elettronica Spa,borgata-hotel-casino-&-spa,false
https://www.linkedin.com/company/specim-spectral-imaging-ltd-,"Specim,Spectral Imaging Oy",oyo-rooms,false
https://www.linkedin.com/company/haberkorn-gmbh,HABERKORN,haberkorn-gmbh,true
https://www.linkedin.com/company/grupo-ikor,IKOR SPAIN,samurai-spain-侍,false
https://www.linkedin.com/company/rimarktech,RIMARCK,,false
https://www.linkedin.com/company/electricite-strasbourg,ES ENERGIES STRASBOURG,vinci-energies,false
https://www.linkedin.com/company/basf,BASF,basf,true
https://www.linkedin.com/company/20542,ITESOFT,itesoft,false
https://www.linkedin.com/company/neuralcam,NEURAL CAM,cambridge-university-press-and-assessment,false
https://www.linkedin.com/company/efg.cn,EFG Elektronikfertigung GmbH,vetter-pharma,false
https://www.linkedin.com/company/bombardier,Bombardier,bombardier,true
https://www.linkedin.com/company/maatel,MAATEL,maatel,true
https://www.linkedin.com/company/celestica,Celestica Valencia,universidad-catolica-valencia,false
https://www.linkedin.com/company/montabert,Montabert,montabert-sa,false
https://www.linkedin.com/company/groupe-zekat,CEQUAD,groupe-zekat,true
https://www.linkedin.com/company/sodebo,Sodebo,sodebo,true
https://www.linkedin.com/company/omicron-electronics,OMICRON,omicron-delta-kappa,false
https://www.linkedin.com/company/jtekt-european-operations,JTEKT EUROPE CHEVIGNY,europe-1,false
https://www.linkedin.com/company/elemaster-tecnologie-elettroniche,Elemaster NV,nvr-inc-,false
https://www.linkedin.com/company/seico,SEICO,sei-construction-inc-,false
https://www.linkedin.com/company/bmw-group,BMW GROUP,ipg,false
https://www.linkedin.com/company/alstefgroup,ALSTEF GROUP,ipg,false
https://www.linkedin.com/company/canrig-drilling-technology-ltd.,CANRIG DRILLING TECHNOLOGY,seagate-technology,false
https://www.linkedin.com/company/oceanscan-mst,"OceanScan - Marine Systems & Technology, Lda",seagate-technology,false
https://www.linkedin.com/company/sela,S.E.L.A.,,false
https://www.linkedin.com/company/totalenergies,TOTALENERGIES SE,seagate-technology,false
https://www.linkedin.com/company/leach-international,LEACH INTERNATIONAL,tyco,false
https://www.linkedin.com/company/psz-electronic-gmbh,PSZ electronic GmbH,electronic-arts,false
https://www.linkedin.com/company/signal-ag,SYGNAL,sygnali,false
https://www.linkedin.com/company/trelleborggroup,TRELLEBORG,trelleborggroup,true
https://www.linkedin.com/company/gostol-bakery-solutions,Gostol,giusto-gostoli---materiali-edili,false
https://www.linkedin.com/company/lacroix-electronics,LACROIX ELECTRONICS TUNISIA,lg-electronics,false
https://www.linkedin.com/company/fimor-electronics,FIMOR ELECTRONICS,lg-electronics,false
https://www.linkedin.com/company/michel-itc,MICHEL ITC AG,agilent-technologies,false
https://www.linkedin.com/company/coesia-s-p-a-,COESIA S.P.A,coesia-s-p-a-,true
https://www.linkedin.com/company/punch-powertrain,PUNCH POWERTRAIN FRANCE,go-sport,false
https://www.linkedin.com/company/tca-spa,TCA PRODUCTION SRL,sga-production-services,false
https://www.linkedin.com/company/leach-international-europe,LEACH,weareleach,false
https://www.linkedin.com/company/seaowl,SEAOWL,seaowl,true
https://www.linkedin.com/company/amf-bakery-systems,AMF Bakery Systems,r&d-systems,false
https://www.linkedin.com/company/promocab-industrie,PROMOCAB INDUSTRIE,nfi,false
https://www.linkedin.com/company/cobham-satcom,Cobham SATCOM Denmark,technical-university-of-denmark,false
https://www.linkedin.com/company/elmacom,ELMACOM,elmacom-s.r.l.,false
https://www.linkedin.com/company/altaix-electr-nica,"ALTAIX ELECTRONICA, S.A.",cnim,false
https://www.linkedin.com/company/enag,ENAG,enago,false
https://www.linkedin.com/company/page-electronica,PAGE ELECTRONICA,michael-page,false
https://www.linkedin.com/company/altaroad,ALTAROAD,altaroad,true
https://www.linkedin.com/company/eaton,MARTEK POWER F SAS EATON EMOBILITY,eaton,true
https://www.linkedin.com/company/saab,SAAB,saab-sensis-corporation,false
https://www.linkedin.com/company/eolane,EOLANE COMBREE,nanolane-eolane,false
https://www.linkedin.com/company/eltrev-snc,ELTREV SNC,snc-lavalin_2,false
https://www.linkedin.com/company/sudelec-usson-en-forez-42550,SUDELEC,sudelectro,false
https://www.linkedin.com/company/gms-gmbh,GMS electronic Vertriebs GmbH,electronic-arts,false
https://www.linkedin.com/company/serimax,SERIMAX,serimax,true
https://www.linkedin.com/company/idil-fibres-optiques,IDIL Fibre optique,the-fibre-company-uk-ltd,false
https://www.linkedin.com/company/cern,CERN,cerner-corporation,false
https://www.linkedin.com/company/eaton,Souriau,souriau,false
https://www.linkedin.com/company/oscarlab,OSCARLAB,oscarlab,true
https://www.linkedin.com/company/ept-gmbh,EPT CONNECTORS GMBH,vetter-pharma,false
https://www.linkedin.com/company/recipharm,RECIPHARM PARTICIPATIONS,recipharm,true
https://www.linkedin.com/company/leica-geosystems,LEIC,university-of-leicester,false
https://www.linkedin.com/company/volkswagen-group,VOLKSWAGEN,volkswagen-group-canada,false
https://www.linkedin.com/company/procter-and-gamble,PROCTER & GAMBLE,procter-and-gamble,true
https://www.linkedin.com/company/bayer,BAYER,bayerischer-rundfunk,false
https://www.linkedin.com/company/pattonair,PATTONAIR,pattonair,true
https://www.linkedin.com/company/hgh-systemes-infrarouges,HGH SYSTEMES INFRAROUGES,hgh-pro,false
https://www.linkedin.com/company/sew-usocome,SEW USOCOME,pocono-sew-&-vac,false
https://www.linkedin.com/company/bonsai-systems,BONSAI SYSTEMS GMBH,r&d-systems,false
https://www.linkedin.com/company/alpine-cars-racing,Alpine Racing,williamsracing,false
https://www.linkedin.com/company/hydro-leduc,HYDRO LEDUC,norsk-hydro,false
https://www.linkedin.com/company/nexter-systems,NEXTER SYSTEMS,r&d-systems,false
https://www.linkedin.com/company/serdi-france,SERDI,serdi,false
https://www.linkedin.com/company/alpeslasers,ALPES LASERS SA,salesforce,false
https://www.linkedin.com/company/volocopter,volocopter,volocopter,true
https://www.linkedin.com/company/kristronics,Kristronics GmbH,vetter-pharma,false
https://www.linkedin.com/company/sermed-impressions-06,SERMED IMPRESSIONS,sharper-impressions-painting,false
https://www.linkedin.com/company/tech-power-electronics-group,TECH POWER,tetra-tech,false
https://www.linkedin.com/company/elbasecurity,ELBA,elba-hoteles,false
https://www.linkedin.com/company/oceta,OCETA,oceta,true
https://www.linkedin.com/company/the-wiw,THE WIW,art-institute,false
https://www.linkedin.com/company/jabil,JABIL Circuit POLAND,jabil,true
https://www.linkedin.com/company/antolin,GRUPO ANTOLIN BESANCON,porcelanosa,false
https://www.linkedin.com/company/rubixgroup,RUBIX,rubixls,false
https://www.linkedin.com/company/arkema,ARKEMA,arkema,true
https://www.linkedin.com/company/hp-france,HP FRANCE SAS,go-sport,false
https://www.linkedin.com/company/novatech-technologies,NOVATECH TECHNOLOGIES,ss-c-technologies,false
https://www.linkedin.com/company/gmi-aero,GMI AERO,aeroporti-di-roma,false
https://www.linkedin.com/company/miliboo,MILIBOO,miliboo,true
https://www.linkedin.com/company/cedrat-technologies,CEDRAT TECHNOLOGIES,ss-c-technologies,false
https://www.linkedin.com/company/made-in-space-europe,Made In Space Europe,jack-in-the-box,false
https://www.linkedin.com/company/vega-industries-inc,VEGA INDUSTRIE,nfi,false
https://www.linkedin.com/company/arcil_2,SYNERLINK S.A.,cnim,false
https://www.linkedin.com/company/denso,DENSO AUTOMOTIVE FRANCE S.A.R.L,asbury-automotive-group,false
https://www.linkedin.com/company/ford-motor-company,FORD,the-henry-ford,false
https://www.linkedin.com/company/rafael-advanced-defense-systems-official,RAFAEL ADVANCED DEFENSE SYSTEMS,r&d-systems,false
https://www.linkedin.com/company/visiativ,VISIATIV,visiativ,true
https://www.linkedin.com/company/sabarot-wassner,SABAROT WASSNER,sabarot-wassner,true
https://www.linkedin.com/company/cama-group,Cama S.P.A,sapienslavoro,false
https://www.linkedin.com/company/hutchinson,HUTCHINSON,hutchinson,true
https://www.linkedin.com/company/scortex,SCORTEX,scortex,true
https://www.linkedin.com/company/seven-solutions,SEVEN SOLUTIONS,sirius-computer-solutions,false
https://www.linkedin.com/company/cisel,CISEL SRL,dimsport,false
https://www.linkedin.com/company/secma-sas,SECMA,secmaker-ab,false
https://www.linkedin.com/company/falck-schmidt-systems,Jan Falck-Schmidt System,r&d-systems,false
https://www.linkedin.com/company/club-entreprises-villeneuve-loubet-cevl,CEVL,cevlab-srl,false
https://www.linkedin.com/company/cuonics-gmbh,Cuonics GmbH,vetter-pharma,false
https://www.linkedin.com/company/becker-electronique,BECKER ELECTRONIQUE,becker-college,false
https://www.linkedin.com/company/sintersa,SCP Sintersa,ametek-scp,false
https://www.linkedin.com/company/lisaqua,LISAQUA,lisaqua,true
https://www.linkedin.com/company/brioches-fonteneau,Fonteneau,fonteneau-law-firm,false
https://www.linkedin.com/company/epiceanancy,EPICEA,epicear-productions,false
https://www.linkedin.com/company/calaosoft,CALAOSOFT,calaosoft,true
https://www.linkedin.com/company/neutrik-france,NEUTRIK FRANCE,go-sport,false
https://www.linkedin.com/company/ametra,AMETRA GROUP,ipg,false
https://www.linkedin.com/company/atos-racks,ATOS RACK,rackspace-technology,false
https://www.linkedin.com/company/hemargroup,Hemargroup,hemargroup,true
https://www.linkedin.com/company/habia-cable,HABIA CABLE,allied-wire-&-cable,false
https://www.linkedin.com/company/msb-ressources-globales,MSB INDUSTRIES,nfi,false
https://www.linkedin.com/company/delltechnologies,DELL TECHNOLOGIES,ss-c-technologies,false
https://www.linkedin.com/company/ic-automation,IC AUTOMATION,atsautomation,false
https://www.linkedin.com/company/siemens,SIEMENS,siemens,true
https://www.linkedin.com/company/samidefense,Saudi Arabian Military Industries,nfi,false
https://www.linkedin.com/company/petit-bateau,PETIT BATEAU,petit-fut-,false
https://www.linkedin.com/company/another-brain,AN OTHER BRAIN,diagraph-an-itw-company,false
https://www.linkedin.com/company/eiffage_2,EIFFAGE,eiffage_2,true
https://www.linkedin.com/company/thuasne,THUASNE,thuasne-usa,false
https://www.linkedin.com/company/lynred,LYNRED France,go-sport,false
https://www.linkedin.com/company/ingenico,INGENICO GROUP,ipg,false
https://www.linkedin.com/company/formulaction,FORMULACTION,formulaction,true
https://www.linkedin.com/company/namkin,NAMKIN,namkin,true
https://www.linkedin.com/company/lacroix-group,LACROIX ELECTRONICS,lg-electronics,false
https://www.linkedin.com/company/horsch,HORSCH,horsch,true
https://www.linkedin.com/company/arcelormittal-france,ARCELORMITTAL FRANCE,arcelormittal,false
https://www.linkedin.com/company/arcus-air,ARCUS components GmbH,rs-components,false
https://www.linkedin.com/company/safran,SAFRAN,safran,true
https://www.linkedin.com/company/vishay-intertechnology-inc-,VISHAY SA,salesforce,false
https://www.linkedin.com/company/fintall-oy,FINTALL OY,oyo-rooms,false
https://www.linkedin.com/company/virbac,VIRBAC,virbac,true
https://www.linkedin.com/company/aode-electronics,TECHWAVE MANUFACTURING - AODE ELECTRONICS,lg-electronics,false
https://www.linkedin.com/company/boulangeries-paul,Boulangerie Paul,john-paul,false
https://www.linkedin.com/company/odu-connectors,ODU GmbH & Co. KG,bertelsmann,false
https://www.linkedin.com/company/mw-fep-s-p-a-,MW FEP SPA,borgata-hotel-casino-&-spa,false
https://www.linkedin.com/company/-innova-,INNOVA AS,asml,false
https://www.linkedin.com/company/bertin-winlight,WINLIGHT SYSTEM,r&d-systems,false
https://www.linkedin.com/company/surveycopter,SURVEY COPTER,usgs,false
https://www.linkedin.com/company/dat-con-d-o-o,Dat-Con,johnson-controls,false
https://www.linkedin.com/company/sateco-ag,Sateco AG,agilent-technologies,false
https://www.linkedin.com/company/biocoop-sa,BIOCOOP,cooperativebiocoop,false
https://www.linkedin.com/company/centumtns,ADENEO,,false
https://www.linkedin.com/company/martin-technologies,MARTIN-TECHNOLOGIES,ss-c-technologies,false
https://www.linkedin.com/company/molex,MOLEX,molex,true
https://www.linkedin.com/company/keopsys,KEOPSYS Lannion,keopsys,true
https://www.linkedin.com/company/tcoag,TCOAG DEUTSCHLAND GMBH,timepartner-holding,false
https://www.linkedin.com/company/mildef-group,MILDEF,mildef-group,true
https://www.linkedin.com/company/sabca,S.A.B.C.A SA Belge de Constructions Aéronautiques,immoscout24,false
https://www.linkedin.com/company/creative-cables,CREATIVE CABLING,creative-planning,false
https://www.linkedin.com/company/fundaci-n-prodintec,PRODINTEC,fundaci-n-prodintec,true
https://www.linkedin.com/company/salamander-france,SALAMANDER GROUP,ipg,false
https://www.linkedin.com/company/soprema-entreprises,SOPREMA ENTREPRISES,soprema-inc,false
https://www.linkedin.com/company/protoelectronique-com,EMS PROTO,proto-labs,false
https://www.linkedin.com/company/bio-rad,BIO RAD Laboratories SAS,dolby-laboratories,false
https://www.linkedin.com/company/valeo,VALEO,valeo,true
https://www.linkedin.com/company/michelin,MICHELIN,michelin,true
https://www.linkedin.com/company/kontron,KONTRON MODULAR COMPUTERS SAS,sas,false
https://www.linkedin.com/company/ala---advanced-logistics-for-aerospace-france,ALA FRANCE - ADVANCED LOGISTICS FOR AEROSPACE,penske-logistics,false
https://www.linkedin.com/company/mariella-labels-oy,MARICARE OY,oyo-rooms,false
https://www.linkedin.com/company/keyence,KEYENCE,keyence,true
https://www.linkedin.com/company/tesat,Tesat-Spacecom GmbH & Co. KG,bertelsmann,false
https://www.linkedin.com/company/minco.sas,MINCO SA,salesforce,false
https://www.linkedin.com/company/the-coca-cola-company,Coca Cola,colas,false
https://www.linkedin.com/company/wphaton,Haton,wphaton,true
https://www.linkedin.com/company/polarcom,PolarComp,,false
https://www.linkedin.com/company/positronic-industries,POSITRONIC,positronic-industries,true
https://www.linkedin.com/company/screentec-oy,SCREENTEC OY,oyo-rooms,false
https://www.linkedin.com/company/exxelia,EXXELIA ELECTRONIC TECHNOLOGIES,ss-c-technologies,false
https://www.linkedin.com/company/montage-cablage-installation,MCI Montage Cablage Installation,wearemci,false
https://www.linkedin.com/company/moog,Moog,moog,true
https://www.linkedin.com/company/achats-systemes,ACHATS SYSTEMES,basement-systems-quebec,false
https://www.linkedin.com/company/orexad-brammer,OREXAD BRAMMER,brammer-begnaud-&-lattimore-cpas,false
https://www.linkedin.com/company/baxter-healthcare,BAXTER HEALTHCARE,baxter-healthcare,true
https://www.linkedin.com/company/sermati,SERMATI,sermati-canada-inc,false
https://www.linkedin.com/company/liebherr,LIEBHERR GROUP,ipg,false
