linkedin_url,input_name,domain_found,linkedin_id_found,success
https://www.linkedin.com/company/lapp-muller,LAPP MULLER CABLES,,,false
https://www.linkedin.com/company/iveco-group,IVECO,iveco.com,iveco,false
https://www.linkedin.com/company/elemaster-tecnologie-elettroniche,Elemaster NV,,,false
https://www.linkedin.com/company/haberkorn-gmbh,HABERKORN,haberkorn.com,haberkorn-gmbh,true
https://www.linkedin.com/company/neuralcam,NEURAL CAM,neural.cam,,false
https://www.linkedin.com/company/amf-bakery-systems,AMF Bakery Systems,amfbakery.com,amf-bakery-systems,true
https://www.linkedin.com/company/sogemi-engineering-s.r.l.,SO.GE.MI SRL,,,false
https://www.linkedin.com/company/kristronics,Kristronics GmbH,,,false
https://www.linkedin.com/company/texen,TEXEN,texencomendas.com.br,tex-encomendas,false
https://www.linkedin.com/company/formulaction,FORMULACTION,,,false
https://www.linkedin.com/company/lacroix-electronics,LACROIX ELECTRONICS TUNISIA,,,false
https://www.linkedin.com/company/sylektis,SYLEKTIS,sylektis.com,,false
https://www.linkedin.com/company/jimmyfairly-com,JIMMY FAIRLY LAB,,,false
https://www.linkedin.com/company/ic-automation,IC AUTOMATION,i-c-automation.com,i-c-automation,false
https://www.linkedin.com/company/signal-ag,SYGNAL,sygnalapp.com,,false
https://www.linkedin.com/company/ba-healthcare,BA HEALTHCARE,ba-healthcare.org,,false
https://www.linkedin.com/company/saab,SAAB,saabnet.com,,false
https://www.linkedin.com/company/the-wiw,THE WIW,thewiw.com,the-wiw,true
https://www.linkedin.com/company/velvet-consulting,VELVET CONSULTING,velvetconsulting.com,velvet-consulting,true
https://www.linkedin.com/company/punch-powertrain,PUNCH POWERTRAIN FRANCE,,,false
https://www.linkedin.com/company/pattonair,PATTONAIR,,,false
https://www.linkedin.com/company/electricite-strasbourg,ES ENERGIES STRASBOURG,,,false
https://www.linkedin.com/company/maatel,MAATEL,maatel.com,maatel,true
https://www.linkedin.com/company/hydro-leduc,HYDRO LEDUC,tidningenproffs.se,,false
https://www.linkedin.com/company/totalenergies,TOTALENERGIES SE,,,false
https://www.linkedin.com/company/cobham-satcom,Cobham SATCOM Denmark,,,false
https://www.linkedin.com/company/ept-gmbh,EPT CONNECTORS GMBH,,,false
https://www.linkedin.com/company/rimarktech,RIMARCK,rimarck.com,,false
https://www.linkedin.com/company/leroy-somer,MOTEURS LEROY SOMER,,,false
https://www.linkedin.com/company/eaton,MARTEK POWER F SAS EATON EMOBILITY,,,false
https://www.linkedin.com/company/alpeslasers,ALPES LASERS SA,,,false
https://www.linkedin.com/company/visicom,VITICYM,viticym.com,,false
https://www.linkedin.com/company/sudelec-usson-en-forez-42550,SUDELEC,sudelec42.com,sudelec,false
https://www.linkedin.com/company/alpine-cars-racing,Alpine Racing,,,false
https://www.linkedin.com/company/goma-elettronica-spa,Goma Elettronica Spa,goma.it,,false
https://www.linkedin.com/company/eltrev-snc,ELTREV SNC,,,false
https://www.linkedin.com/company/sermed-impressions-06,SERMED IMPRESSIONS,sermed-impressions.fr,,false
https://www.linkedin.com/company/jabil,JABIL Circuit POLAND,,,false
https://www.linkedin.com/company/eolane,EOLANE COMBREE,,,false
https://www.linkedin.com/company/psz-electronic-gmbh,PSZ electronic GmbH,,,false
https://www.linkedin.com/company/delltechnologies,DELL TECHNOLOGIES,delltechnologiescapital.com,delltechcapital,false
https://www.linkedin.com/company/tca-spa,TCA PRODUCTION SRL,,,false
https://www.linkedin.com/company/enag,ENAG,enago.com,enago,false
https://www.linkedin.com/company/bonsai-systems,BONSAI SYSTEMS GMBH,,,false
https://www.linkedin.com/company/made-in-space-europe,Made In Space Europe,madeinspaceeurope.com,made-in-space-europe,true
https://www.linkedin.com/company/basf,BASF,basf.com,basf,true
https://www.linkedin.com/company/lynred,LYNRED France,,,false
https://www.linkedin.com/company/tesat,Tesat-Spacecom GmbH & Co. KG,,,false
https://www.linkedin.com/company/seico,SEICO,seiconsortium.com,,false
https://www.linkedin.com/company/promocab-industrie,PROMOCAB INDUSTRIE,,,false
https://www.linkedin.com/company/oscarlab,OSCARLAB,oscarlab.ca,,false
https://www.linkedin.com/company/page-electronica,PAGE ELECTRONICA,,,false
https://www.linkedin.com/company/falck-schmidt-systems,Jan Falck-Schmidt System,,,false
https://www.linkedin.com/company/vishay-intertechnology-inc-,VISHAY SA,,,false
https://www.linkedin.com/company/oceanscan-mst,"OceanScan - Marine Systems & Technology, Lda",,,false
https://www.linkedin.com/company/hgh-systemes-infrarouges,HGH SYSTEMES INFRAROUGES,,,false
https://www.linkedin.com/company/elmacom,ELMACOM,elmacommunication.fr,,false
https://www.linkedin.com/company/altaix-electr-nica,"ALTAIX ELECTRONICA, S.A.",,,false
https://www.linkedin.com/company/neutrik-france,NEUTRIK FRANCE,,,false
https://www.linkedin.com/company/nexter-systems,NEXTER SYSTEMS,,,false
https://www.linkedin.com/company/michel-itc,MICHEL ITC AG,,,false
https://www.linkedin.com/company/sateco-ag,Sateco AG,,,false
https://www.linkedin.com/company/sabarot-wassner,SABAROT WASSNER,,,false
https://www.linkedin.com/company/arcelormittal-france,ARCELORMITTAL FRANCE,,,false
